No.,Label,Afiliation,Crop,Car_index,Cultivar,Part,Lane,Car_number,Sensor,Shoot_angle,Time_YYYY_MM_DD,Time_YYYY,Time_MM,Time_DD,Time_hh,Time_mm,Time_ss,Sorting,Area,Perim.,Width,Height,Major,Minor,Angle,Circ.,Feret,MinFeret,AR,Round,Solidity,R,G,B 
0,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-06-14,2023 ,6 ,14 ,6,3,48,A_1_1_VIS_SV000,283.577,643.533,90.861,126.231,27.99,12.9,100.577,0.009,126.535,67.551,2.17,0.461,0.044,85.41869743,109.4074833,90.29210697
1,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-06-16,2023 ,6 ,16 ,6,3,49,A_1_1_VIS_SV000,483.545,943.049,114.225,172.311,36.794,16.733,83.056,0.007,175.104,108.662,2.199,0.455,0.046,86.32889325,109.9149223,89.1170585
2,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-06-18,2023 ,6 ,18 ,6,3,49,A_1_1_VIS_SV000,722.159,1257.393,153.49,174.582,41.991,21.897,77.096,0.006,176.053,107.661,1.918,0.521,0.047,89.95770932,114.297577,90.48670806
3,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-06-20,2023 ,6 ,20 ,6,3,48,A_1_1_VIS_SV000,988.256,1619.437,174.907,232.344,50.649,24.843,92.109,0.005,236.318,163.831,2.039,0.49,0.045,89.10121564,114.5035823,90.88210594
4,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-06-22,2023 ,6 ,22 ,6,3,48,A_1_1_VIS_SV000,1069.128,1921.5,241.105,183.993,42.653,31.914,96.619,0.004,247.777,147.998,1.336,0.748,0.044,87.90349222,112.6360927,90.46886537
5,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-06-24,2023 ,6 ,24 ,6,3,48,A_1_1_VIS_SV000,1788.549,2647.648,203.138,251.489,60.782,37.466,82.903,0.003,265.996,181.255,1.622,0.616,0.058,88.28559233,112.3901587,87.54270758
6,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-06-26,2023 ,6 ,26 ,6,3,48,A_1_1_VIS_SV000,1882.583,3473.867,247.595,238.509,58.907,40.691,68.249,0.002,304.754,198.122,1.448,0.691,0.047,87.09541876,110.5564957,89.4787923
7,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-06-28,2023 ,6 ,28 ,6,3,48,A_1_1_VIS_SV000,3041.112,4258.943,271.284,261.549,74.427,52.025,76.085,0.002,297.194,216.929,1.431,0.699,0.066,87.22188623,111.3378502,85.92626614
8,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-06-30,2023 ,6 ,30 ,10,17,11,A_1_1_VIS_SV000,3936.703,4803.623,264.794,332.939,82.777,60.553,96.361,0.002,354.037,259.322,1.367,0.732,0.07,83.32964362,105.3466045,82.84504688
9,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-07-02,2023 ,7 ,2 ,6,3,48,A_1_1_VIS_SV000,5246.971,6412.712,302.436,360.522,95.252,70.137,108.166,0.002,401.702,251.522,1.358,0.736,0.085,86.7365991,110.0691476,85.57603247
10,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-07-04,2023 ,7 ,4 ,6,3,50,A_1_1_VIS_SV000,6449.937,7725.927,379.668,322.231,99.37,82.643,145.071,0.001,386.381,270.72,1.202,0.832,0.088,87.09795543,110.2729522,85.78180525
11,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-07-06,2023 ,7 ,6 ,6,3,48,A_1_1_VIS_SV000,8000.504,8427.016,374.8,387.456,108.904,93.537,107.151,0.001,420.182,309.078,1.164,0.859,0.097,85.72463107,108.9393223,84.15980969
12,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-07-08,2023 ,7 ,8 ,6,3,48,A_1_1_VIS_SV000,9525.588,9600.778,371.879,271.284,123.584,98.138,168.875,0.001,374.348,271.284,1.259,0.794,0.127,84.83063449,107.1339239,83.04368292
13,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-07-10,2023 ,7 ,10 ,6,3,48,A_1_1_VIS_SV000,11164.503,10260.682,343.323,291.727,132.882,106.975,143.715,0.001,368.032,291.727,1.242,0.805,0.139,83.29421151,104.8024617,81.37242071
14,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-07-12,2023 ,7 ,12 ,6,3,47,A_1_1_VIS_SV000,13486.931,11893.693,343.972,361.495,142.572,120.445,117.102,0.001,392.434,342.46,1.184,0.845,0.146,83.47662639,104.7804302,81.27543788
15,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-07-14,2023 ,7 ,14 ,6,3,48,A_1_1_VIS_SV000,15398.578,13017.181,351.111,423.151,155.542,126.05,109.07,0.001,452.039,350.329,1.234,0.81,0.142,81.78670332,102.7399093,79.82723357
16,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-07-16,2023 ,7 ,16 ,6,3,48,A_1_1_VIS_SV000,16893.335,14246.354,367.012,458.522,165.413,130.034,111.092,0.001,499.454,343.107,1.272,0.786,0.131,80.45434632,101.0208698,78.48409632
17,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-07-18,2023 ,7 ,18 ,6,3,48,A_1_1_VIS_SV000,20486.122,15914.276,422.177,482.21,183.985,141.771,122.439,0.001,529.092,379.482,1.298,0.771,0.137,82.98696793,103.9352106,79.61141902
18,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-07-20,2023 ,7 ,20 ,6,3,49,A_1_1_VIS_SV000,21757.008,17243.031,433.535,478.641,194.792,142.213,118.053,0.0009196,538.776,399.785,1.37,0.73,0.149,83.44322957,104.3580723,80.27137108
19,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-07-22,2023 ,7 ,22 ,6,3,48,A_1_1_VIS_SV000,25088.226,18361.063,427.369,469.879,208.687,153.068,119.601,0.0009352,540.766,402.169,1.363,0.733,0.172,83.21462286,104.1688273,79.7077562
20,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-07-24,2023 ,7 ,24 ,6,3,48,A_1_1_VIS_SV000,28558.758,19793.519,423.475,467.283,225.57,161.201,111.547,0.000916,548.145,415.472,1.399,0.715,0.187,81.96345341,102.6220574,78.29109249
21,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-07-26,2023 ,7 ,26 ,6,3,48,A_1_1_VIS_SV000,31367.68,20564.752,429.316,456.899,232.741,171.601,106.434,0.0009321,532.135,410.733,1.356,0.737,0.205,82.17705651,102.6740488,77.87486269
22,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-07-28,2023 ,7 ,28 ,6,3,48,A_1_1_VIS_SV000,35229.092,22474.476,428.343,471.177,248.534,180.479,101.131,0.0008765,531.627,414.313,1.377,0.726,0.22,82.8883225,103.3315515,77.98997729
23,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-07-30,2023 ,7 ,30 ,6,3,48,A_1_1_VIS_SV000,36698.05,21621.937,406.601,481.561,257.16,181.698,95.149,0.0009864,543.576,398.74,1.415,0.707,0.226,83.15307471,103.4875917,77.26708342
24,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-08-01,2023 ,8 ,1 ,6,3,48,A_1_1_VIS_SV000,39164.531,22276.362,401.085,489.998,270.705,184.207,92.431,0.0009918,536.953,401.085,1.47,0.68,0.242,83.87915417,104.2691021,77.25836868
25,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-08-03,2023 ,8 ,3 ,10,10,17,A_1_1_VIS_SV000,41905.533,20962.927,408.548,492.919,286.393,186.303,91.07,0.001,545.69,408.548,1.537,0.651,0.252,83.20070828,101.6782578,74.94363027
26,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-08-05,2023 ,8 ,5 ,6,3,49,A_1_1_VIS_SV000,42013.678,21623.294,397.191,486.429,291.45,183.543,91.705,0.001,555.876,397.191,1.588,0.63,0.25,85.08103072,105.5633867,76.63019201
27,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-08-07,2023 ,8 ,7 ,6,3,49,A_1_1_VIS_SV000,44836.499,22634.236,401.409,475.72,302.323,188.83,93.021,0.001,567.104,401.409,1.601,0.625,0.258,87.08544377,107.7419696,77.49027973
28,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-08-09,2023 ,8 ,9 ,6,3,47,A_1_1_VIS_SV000,46620.52,21939.487,426.071,489.674,312.459,189.974,94.444,0.001,594.179,424.316,1.645,0.608,0.245,86.87480775,107.3385869,76.75384202
29,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-08-11,2023 ,8 ,11 ,6,3,48,A_1_1_VIS_SV000,47498.841,22407.192,415.363,504.276,321.568,188.071,93.855,0.001,588.279,415.363,1.71,0.585,0.25,87.71104578,108.3633149,77.32101121
30,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-08-13,2023 ,8 ,13 ,6,3,48,A_1_1_VIS_SV000,46489.735,22258.798,422.502,517.905,327.665,180.65,92.806,0.001,588.937,422.502,1.814,0.551,0.242,91.05490207,111.8292173,79.08725306
31,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-08-15,2023 ,8 ,15 ,6,3,48,A_1_1_VIS_SV000,47062.471,22478.908,425.098,526.343,343.24,174.577,93.243,0.001,580.024,425.098,1.966,0.509,0.243,93.16400862,113.7436826,80.32927401
32,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-08-17,2023 ,8 ,17 ,6,3,49,A_1_1_VIS_SV000,48039.565,22808.986,444.243,523.422,356.102,171.765,93.072,0.001,572.41,436.183,2.073,0.482,0.248,96.03259136,116.5130668,82.29548448
33,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-08-19,2023 ,8 ,19 ,6,7,5,A_1_1_VIS_SV000,48719.498,23825.766,448.138,523.747,366.717,169.154,92.883,0.001,571.401,444.801,2.168,0.461,0.252,97.45406212,117.6796943,83.48489001
34,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-08-21,2023 ,8 ,21 ,6,3,48,A_1_1_VIS_SV000,49390.269,24165.82,456.25,524.396,376.08,167.214,92.644,0.001,569.816,454.506,2.249,0.445,0.259,96.75561088,116.3841686,83.05517548
35,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-08-25,2023 ,8 ,25 ,6,3,48,A_1_1_VIS_SV000,50290.809,23868.48,448.138,520.501,369.339,173.37,90.393,0.001,561.494,441.785,2.13,0.469,0.262,98.30226666,117.2373175,83.61218168
36,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-08-27,2023 ,8 ,27 ,6,3,48,A_1_1_VIS_SV000,50233.525,24223.248,439.051,522.448,369.323,173.18,90.265,0.001,567.137,439.051,2.133,0.469,0.264,100.704863,119.3608754,84.7737853
37,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-08-29,2023 ,8 ,29 ,6,3,43,A_1_1_VIS_SV000,50562.066,24783.627,462.091,529.263,369.025,174.453,91.007,0.001,570.705,462.091,2.115,0.473,0.26,102.1314925,120.0962577,84.91991291
38,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-08-31,2023 ,8 ,31 ,6,3,47,A_1_1_VIS_SV000,50097.475,24067.64,393.621,530.886,380.58,167.602,89.026,0.001,574.479,379.526,2.271,0.44,0.3,103.5788163,121.0883408,85.21964764
39,2023,RDA,RICE,A_1_1,둔내벼,A,1,1,VIS,SV000,2023-09-02,2023 ,9 ,2 ,6,3,48,A_1_1_VIS_SV000,49374.369,24047.249,380.641,531.859,381.417,164.821,87.927,0.001,569.788,364.004,2.314,0.432,0.308,109.6621667,126.3455537,88.04193372
